ticker,exchange,industry,companyType,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,stockRating,deltaInWeek,deltaInMonth,deltaInYear,shortName,industryEn,industryID,industryIDv2,website,datime
VC7,HNX,Xây dựng và Vật liệu,CT,0,0.0,96.1,48.0,2001.0,26,2.3,0.095,0.09,1.541,BGI Group,Construction & Materials,181,2357,https://bgi.vn,2312091715
VC5,UPCOM,Xây dựng và Vật liệu,CT,0,0.013,5.0,5.0,2007.0,7,,-0.02,0.334,0.295,Xây dựng Số 5,Construction & Materials,181,2357,http://www.vina5.vn,2312091715
VC9,HNX,Xây dựng và Vật liệu,CT,834,0.018,16.7,17.0,2005.0,188,,-0.055,0.036,-0.191,Xây dựng số 9,Construction & Materials,181,2357,https://vc9.vn,2312091715
VCB,HOSE,Ngân hàng,NH,25183,0.235,5589.1,5589.1,2008.0,22862,3.0,-0.02,-0.078,0.199,Vietcombank,Banks,289,8355,https://vietcombank.com.vn,2312091715
VCA,HOSE,Tài nguyên Cơ bản,CT,732,0.016,15.2,15.2,2007.0,386,2.9,-0.027,-0.098,-0.271,Thép VICASA - VNSTEEL,Basic Resources,159,1757,http://www.vicasasteel.com,2312091715
VCC,HNX,Xây dựng và Vật liệu,CT,478,0.0,24.0,12.0,2007.0,449,1.9,-0.065,0.124,0.176,Vinaconex 25,Construction & Materials,181,2357,https://vinaconex25.com.vn,2312091715
VCE,UPCOM,Xây dựng và Vật liệu,CT,112,0.0,5.0,5.0,2014.0,12,,-0.02,-0.041,-0.08,Xây lắp Môi trường,Construction & Materials,181,2357,http://www.moitruongnhanco.vn,2312091715
VCI,HOSE,Dịch vụ tài chính,CK,13657,0.224,437.5,437.5,2007.0,343,2.7,-0.032,0.056,0.64,Chứng khoán Vietcap,Financial Services,300,8777,http://www.vcsc.com.vn,2312091715
VCG,HOSE,Xây dựng và Vật liệu,CT,7864,0.108,534.5,534.5,2006.0,8433,2.1,0.046,0.09,0.553,VINACONEX,Construction & Materials,181,2357,http://www.vinaconex.com.vn,2312091715
VCF,HOSE,Thực phẩm và đồ uống,CT,390,0.006,26.6,26.6,1998.0,241,2.7,-0.018,-0.051,-0.337,VinaCafé Biên Hòa,Food & Beverage,216,3537,www.vinacafebienhoa.com,2312091715
VCP,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,829,0.0,83.8,83.8,,64,2.8,0.021,-0.041,-0.076,Xây dựng và Năng lượng VCP,Utilities,274,7535,https://vcpholdings.com.vn,2312091715
VCM,HNX,Hàng & Dịch vụ Công nghiệp,CT,656,0.0,3.0,3.0,1995.0,46,,-0.135,-0.161,-0.4,Nhân lực và Thương mại Vinaconex,Industrial Goods & Services,196,2793,http://www.vinaconexmec.vn,2312091715
VCR,UPCOM,Bất động sản,CT,1712,0.0,210.0,210.0,2008.0,52,2.3,-0.011,-0.009,-0.093,Vinaconex - ITC,Real Estate,336,8633,https://vinaconexitc.com.vn,2312091715
VCS,HNX,Xây dựng và Vật liệu,CT,4721,0.028,160.0,160.0,2005.0,957,2.9,-0.02,0.023,0.167,VICOSTONE,Construction & Materials,180,2353,https://vicostone.com,2312091715
VCT,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,0,0.0,1.1,1.1,2004.0,12,,-0.02,-0.041,0.082,Tư vấn XD Vinaconex,Industrial Goods & Services,195,2791,http://www.vinaconsult.com.vn,2312091715
VCW,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,132,0.001,75.0,75.0,2009.0,132,2.2,0.005,-0.009,-0.384,Đầu tư Nước sạch Sông Đà,Utilities,277,7577,http://www.viwasupco.com.vn,2312091715
