ticker,shareHolder_OwnPercent,datime
SMB,"[{'Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn': 0.324}, {'Công ty Cổ Phần Thương Mại Địa Ốc Việt': 0.1254}, {'Công ty TNHH MTV Xổ số Kiến thiết Phú Yên': 0.0537}, {'Capital Shine Limited': 0.0532}, {'Huỳnh Văn Dũng': 0.0138}, {'Trần Thị Kim Phượng': 0.0074}, {'Hoàng Thanh Việt': 0.0026}, {'Nguyễn Ngọc Triêm': 0.0023}, {'Lê Thị Ngọc Ánh': 0.002}, {'Khác': 0.0393}]",2312091655
SMN,"[{'Công ty TNHH MTV Nhà xuất bản Giáo dục Việt Nam': 0.5312}, {'Phạm Văn Hồng': 0.0115}, {'Nguyễn Thị Thu': 0.0058}, {'Đỗ Thành Lâm': 0.0048}, {'Đỗ Thị Mai Anh': 0.0035}, {'Phạm Cảnh Toàn': 0.0029}, {'Nguyễn Mai Hoa': 0.0023}, {'Nguyễn Trường Quang': 0.0014}, {'Dương Vân Nhung': 0.0012}, {'Khác': 0.0031}]",2312091655
SMC,"[{'HANWA Company Limited': 0.197}, {'Nguyễn Thị Ngọc Loan': 0.1424}, {'Nguyễn Ngọc Anh': 0.1402}, {'Nguyễn Cẩm Vân': 0.1382}, {'Nguyễn Cẩm Hà': 0.0495}, {'Nguyễn Hữu Kinh Luân': 0.0478}, {'Nguyễn Thị Tánh': 0.0236}, {'Nguyễn Quốc Thắng': 0.0234}, {'Nguyễn Nghĩa Dũng': 0.0231}, {'Khác': 0.1734}]",2312091655
SMT,"[{'Nguyễn Thị Nga': 0.0711}, {'Phạm Duy Khánh': 0.05}, {'Nguyễn Đông Hưng': 0.049}, {'Nguyễn Ngọc Huy': 0.049}, {'Trần Thùy Linh': 0.049}, {'Nguyễn Thị Hải Yến': 0.049}, {'Trần Thị Thùy Dương': 0.049}, {'Andreas Karall': 0.0489}, {'Bùi Vũ Vân Hòa': 0.0162}, {'Khác': 0.0769}]",2312091655
SNZ,"[{'Ủy Ban Nhân Dân Tỉnh Đồng Nai': 0.9954}, {'ĐỖ THỊ THU HẰNG': 0.0001}, {'Phạm Trần Hòa Hiệp': 0.0001}, {'TRẦN THANH HẢI': 0.0001}, {'Khác': 0.0003}]",2312091655
SNC,"[{'Tổng Công ty Thủy sản Việt Nam - Công ty Cổ phần': 0.5078}, {'Công ty Cổ phần CAMIMEX Group': 0.245}, {'Bùi Đức Dũng': 0.0648}, {'Ngô Minh Hiển': 0.0505}, {'Trần Thiện': 0.03}, {'Hà Văn Hạo': 0.0164}, {'Nguyễn Phước An': 0.0102}, {'ĐINH VIỆT TRIỀU': 0.004}, {'Nguyễn Bá Dân': 0.0014}, {'Khác': 0.0045}]",2312091655
SP2,"[{'Công ty TNHH Năng Lượng Ree': 0.2888}, {'Công Ty Cổ Phần Năng Lượng An Xuân': 0.2524}, {'CÔNG TY CỔ PHẦN ĐẦU TƯ KHU CÔNG NGHIỆP VIỆT NAM': 0.1633}, {'Mai Đình Nhật': 0.1018}, {'Nguyễn Thị Tuyết Oanh': 0.0444}, {'NGUYỄN VĂN BÚT': 0.0005}, {'Nguyễn Văn Bút': 0.0005}]",2312091655
SPC,"[{'Tổng Công ty Nông Nghiệp Sài Gòn –tnhh MTV': 0.5933}, {'Jia Hui': 0.0808}, {'Huỳnh Đức': 0.0142}, {'Huỳnh Chí Toàn': 0.0133}, {'Châu Ngọc Minh': 0.0106}, {'Phan Văn Sang': 0.0093}, {'Trương Huy Hoàng Tam Dũng': 0.0077}, {'Yeo Joo Hua': 0.0075}, {'Huỳnh Chấn Huy': 0.0016}, {'Khác': 0.004}]",2312091655
SPH,"[{'Tổng Công ty Thủy sản Việt Nam - Công ty Cổ phần': 0.5934}, {'NGUYỄN PHÚ CƯỜNG': 0.24}, {'Lê Văn Toàn': 0.0005}, {'Phạm Vân Anh': 0.0002}, {'Lê Mạnh Hùng': 0.0001}, {'Khác': 0.0101}]",2312091655
SPB,"[{'Tập đoàn Dệt May Việt Nam': 0.6073}, {'Công ty Cổ Phần Lương Thực Vật Tư Nông Nghiệp Nghệ An': 0.1576}, {'Bùi Nguyên Tiến': 0.036}, {'Trần Thị Kim Chi': 0.0253}, {'Nguyễn Quốc Tuấn': 0.0169}, {'Trần Đình Hiệp': 0.0166}, {'Hoàng Thái Trúc': 0.0033}, {'Trần Quang Vinh': 0.0012}, {'Lê Hồng Quân': 0.0002}, {'Khác': 0.0268}]",2312091655
SPD,"[{'Tổng Công ty Thủy sản Việt Nam - Công ty Cổ phần': 0.36}, {'ĐỖ VĂN SINH': 0.1792}, {'Nguyễn Hoàng Giang': 0.0843}, {'Tô Thanh Sơn': 0.05}, {'Phạm Đình Giá': 0.0261}, {'Trần Tấn Tâm': 0.0116}, {'Lê Hồng Sơn': 0.0076}, {'Nguyễn Đình Trí': 0.004}, {'Nguyễn Duy Dũng': 0.0036}, {'Khác': 0.0356}]",2312091655
