ticker,industry,industryEn,exchange,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,shortName,website,shareHolder_OwnPercent,companyProfile,historyDev,companyPromise,businessRisk,keyDevelopments,businessStrategies
HAM,Xây dựng và Vật liệu,Construction & Materials,UPCOM,229,0.0,9.6,9.3,2003.0,719,Vật tư Hậu Giang,http://hamaco.vn,"[{'LÊ HOÀNG NAM': 0.0731}, {'Vũ Thị Thủy': 0.0541}, {'Trần Thị Phượng': 0.0414}, {'Đào Thị Vững': 0.0395}, {'Quách Yến Vân': 0.0368}, {'Lâm Thị Trúc Hà': 0.0321}, {'Lê Văn Chung': 0.0309}, {'Nguyễn Thị Liên': 0.0279}, {'Đào Vũ Hồng Ngọc': 0.0275}, {'Khác': 0.082}]",,,,,,
HAM,Xây dựng và Vật liệu,Construction & Materials,UPCOM,229,0.0,9.6,9.3,2003.0,719,Vật tư Hậu Giang,http://hamaco.vn,"[{'LÊ HOÀNG NAM': 0.0731}, {'Vũ Thị Thủy': 0.0541}, {'Trần Thị Phượng': 0.0414}, {'Đào Thị Vững': 0.0395}, {'Quách Yến Vân': 0.0368}, {'Lâm Thị Trúc Hà': 0.0321}, {'Lê Văn Chung': 0.0309}, {'Nguyễn Thị Liên': 0.0279}, {'Đào Vũ Hồng Ngọc': 0.0275}, {'Khác': 0.082}]",,,,,,
HAN,Xây dựng và Vật liệu,Construction & Materials,UPCOM,388,0.0,141.0,141.0,1996.0,193,Xây dựng Hà Nội,https://www.hancorp.vn,"[{'Bộ Xây Dựng': 0.9883}, {'Nghiêm Sỹ Minh': 0.0014}, {'Bùi Xuân Dũng': 0.0007}, {'Đào Xuân Hồng': 0.0003}, {'Mai Trung Huấn': 0.0002}, {'Nguyễn Đỗ Quý': 0.0002}, {'Khác': 0.0001}]",,,,,,
HAN,Xây dựng và Vật liệu,Construction & Materials,UPCOM,388,0.0,141.0,141.0,1996.0,193,Xây dựng Hà Nội,https://www.hancorp.vn,"[{'Bộ Xây Dựng': 0.9883}, {'Nghiêm Sỹ Minh': 0.0014}, {'Bùi Xuân Dũng': 0.0007}, {'Đào Xuân Hồng': 0.0003}, {'Mai Trung Huấn': 0.0002}, {'Nguyễn Đỗ Quý': 0.0002}, {'Khác': 0.0001}]",,,,,,
HAI,Hóa chất,Chemicals,UPCOM,8365,0.012,182.7,182.7,2005.0,140,Nông Dược HAI,http://www.congtyhai.com,"[{'Công ty Cổ phần Tập đoàn FLC': 0.0826}, {'Phạm Văn Nùng': 0.0499}, {'Nguyễn Hồng Phong': 0.0043}, {'Trần Văn Phát': 0.0017}, {'Quách Thành Đồng': 0.0012}, {'Nguyễn Chí Linh': 0.0012}, {'Trần Quang Huy': 0.0011}, {'Nguyễn Thị Lệ Hằng': 0.001}, {'Trần Tăng Phi Oanh': 0.0008}, {'Khác': 0.0106}]",,,,,,
HAI,Hóa chất,Chemicals,UPCOM,8365,0.012,182.7,182.7,2005.0,140,Nông Dược HAI,http://www.congtyhai.com,"[{'Công ty Cổ phần Tập đoàn FLC': 0.0826}, {'Phạm Văn Nùng': 0.0499}, {'Nguyễn Hồng Phong': 0.0043}, {'Trần Văn Phát': 0.0017}, {'Quách Thành Đồng': 0.0012}, {'Nguyễn Chí Linh': 0.0012}, {'Trần Quang Huy': 0.0011}, {'Nguyễn Thị Lệ Hằng': 0.001}, {'Trần Tăng Phi Oanh': 0.0008}, {'Khác': 0.0106}]",,,,,,
HAP,Tài nguyên Cơ bản,Basic Resources,HOSE,8771,0.023,110.9,111.1,1999.0,680,Tập đoàn Hapaco,https://hapaco.vn,"[{'Vũ Dương Hiền': 0.1293}, {'Phạm Anh Đào': 0.05}, {'Phạm Thị Kim Nhung': 0.05}, {'Phạm Thị Tuyết Lan': 0.05}, {'Vũ Xuân Thủy': 0.0442}, {'Vũ Xuân Thịnh': 0.043}, {'Vũ Xuân Cường': 0.0373}, {'Trần Tiểu Phụng': 0.0138}, {'Vũ Thị Thanh Chung': 0.0099}, {'Khác': 0.036}]",,,,,,
HAP,Tài nguyên Cơ bản,Basic Resources,HOSE,8771,0.023,110.9,111.1,1999.0,680,Tập đoàn Hapaco,https://hapaco.vn,"[{'Vũ Dương Hiền': 0.1293}, {'Phạm Anh Đào': 0.05}, {'Phạm Thị Kim Nhung': 0.05}, {'Phạm Thị Tuyết Lan': 0.05}, {'Vũ Xuân Thủy': 0.0442}, {'Vũ Xuân Thịnh': 0.043}, {'Vũ Xuân Cường': 0.0373}, {'Trần Tiểu Phụng': 0.0138}, {'Vũ Thị Thanh Chung': 0.0099}, {'Khác': 0.036}]",,,,,,
HAR,Bất động sản,Real Estate,HOSE,9423,0.001,95.7,101.4,2007.0,7,BĐS An Dương Thảo Điền,http://www.adtdgroup.com,"[{'Nguyễn Gia Bảo': 0.12}, {'Công ty TNHH Thai Invest International': 0.0805}, {'Công ty TNHH Tư vấn Đầu tư KGB': 0.0702}, {'Nguyễn Nhân Bảo': 0.0579}, {'Nguyễn Thị Thủy': 0.0469}, {'Lưu Thanh Vy': 0.0419}, {'Cao Thị Bích Loan': 0.0005}, {'Khấu Thị Xuân Anh': 0.0004}, {'Trương Thị Ngọc Yến': 0.0002}, {'Khác': 0.034}]",,,,,,
HAR,Bất động sản,Real Estate,HOSE,9423,0.001,95.7,101.4,2007.0,7,BĐS An Dương Thảo Điền,http://www.adtdgroup.com,"[{'Nguyễn Gia Bảo': 0.12}, {'Công ty TNHH Thai Invest International': 0.0805}, {'Công ty TNHH Tư vấn Đầu tư KGB': 0.0702}, {'Nguyễn Nhân Bảo': 0.0579}, {'Nguyễn Thị Thủy': 0.0469}, {'Lưu Thanh Vy': 0.0419}, {'Cao Thị Bích Loan': 0.0005}, {'Khấu Thị Xuân Anh': 0.0004}, {'Trương Thị Ngọc Yến': 0.0002}, {'Khác': 0.034}]",,,,,,
